,age,nombre_personnes_charge,anciennete_emploi_mois,revenu_mensuel,revenu_supplementaire,charges_mensuelles,credits_en_cours,mensualites_existantes,epargne_mensuelle,solde_moyen_compte,incidents_paiement_12m,retards_paiement_12m,anciennete_bancaire_mois,montant_credit,duree_mois,taux_interet,apport_personnel,prix_vehicule,age_vehicule,revenu_total,dti_calcule,reste_a_vivre,taux_epargne,ratio_credit_revenu,incident_ou_retard,annee_demande,mois_demande,target_default
age,1.0,0.0022160527213617885,0.0010229240305373237,-0.003832404663892362,-0.0012305621358231725,-0.0020756720429412835,0.0031692940267731393,0.001531662163357998,-0.005613115941520697,-0.005763076321028067,0.0014361570687185673,0.00930124034114303,-0.0031512879415613025,0.0011438876692275036,0.001316298538284841,-0.002751890850942472,0.00041338395666785173,-0.0031360812367956263,-0.0033126428812730348,-0.004030113104167089,6.629605592314792e-05,-0.003956158378731702,-0.002847703585603583,-0.0009595311294213936,0.00547275028347428,0.0013275811144712953,-0.006404140687872331,0.0011030217754425557
nombre_personnes_charge,0.0022160527213617885,1.0,0.007729825894578558,0.0022503453982947374,0.00018073224593716204,-0.0014501879547480626,-0.00011278884817292589,-0.0024687062526886944,0.004860830560065413,0.0024453062578925953,0.0035992808853505982,-0.0027490936820006827,0.0017630216077373848,-0.0005126184558646624,-0.001812758522576951,-0.0004179052288052362,-0.0032178436333418583,-0.005513504376492062,-0.0061399104459419485,0.0022130931294315277,-0.004357392945889687,0.0056868501378944045,0.004518764598948325,-0.0011478890414613008,0.0005279408244159866,-0.001677496463794386,0.0071610063953840355,-0.0003568800960986757
anciennete_emploi_mois,0.0010229240305373237,0.007729825894578558,1.0,-0.03838152154552674,0.003641648748241473,-0.03473512394622386,-0.0005763120998405602,-0.0013589758370386319,-0.019728421437363797,-0.021974080540920225,0.0004311897877842234,-0.00016376349476700163,0.0001976618847449027,0.00740020123168574,0.008032466173356996,-0.001962206360883174,0.006095191889403574,-0.0029274481691068262,0.0071997159533189236,-0.03584316174359689,0.03011650860049332,-0.021855539121259513,0.0005451714770334328,0.023761465697984728,-0.001576101594212733,0.000480277470762699,-0.003865217932423388,-0.0033370018598906323
revenu_mensuel,-0.003832404663892362,0.0022503453982947374,-0.03838152154552674,1.0,-0.005645071669931987,0.8304654632957532,-0.003590659665793756,-0.004024220810461175,0.6173998557717615,0.588375135291361,-0.0024791686348773533,0.001712666668655453,0.00012005553126583814,0.001749092286620558,0.0008784319776357383,-0.0038675023537056504,0.006440431221941131,0.011143073649002008,-0.010331933313987761,0.9591192234523749,-0.4366277255409045,0.5818022694269664,0.11967881932700802,-0.2655043007244093,0.0010007576483822425,0.0006092430353898489,0.002026864875898803,-0.35087009125236757
revenu_supplementaire,-0.0012305621358231725,0.00018073224593716204,0.003641648748241473,-0.005645071669931987,1.0,-0.0067500538296013535,0.004445778256217364,0.005009818343479514,0.2821290141718813,0.1606394382963616,-0.0020278689606613356,0.0011809332983935314,0.00043607626524222253,-0.007713960307109754,-0.0024666094182392057,0.002710978584840067,-0.005519833039081206,-0.004398661185159193,0.00749843193577748,0.2775835176862745,-0.15767429583715184,0.27192147659669214,0.17403875524535328,-0.0999450201272097,0.00036370611932897594,-0.0037160558684486158,0.001268971770948129,-0.12968839141246988
charges_mensuelles,-0.0020756720429412835,-0.0014501879547480626,-0.03473512394622386,0.8304654632957532,-0.0067500538296013535,1.0,-0.0008655223148940931,-0.0018219061373870615,0.3768887002160101,0.48970817378145276,-0.004377595232654135,0.0007141499725051626,0.002021421406517093,0.0010376503015619343,0.0020792564089904004,-0.004197288338257329,0.004925044953693588,0.008468588905478101,-0.006830653184056014,0.7959318254246648,-0.3614127496870133,0.3571379523768481,-0.057489615615111476,-0.2197885672033297,-0.0020381934493911855,0.0019331908353415223,0.0031181252407967808,-0.2925033455927165
credits_en_cours,0.0031692940267731393,-0.00011278884817292589,-0.0005763120998405602,-0.003590659665793756,0.004445778256217364,-0.0008655223148940931,1.0,0.8487818156436555,-0.2505948465543848,-0.001734452684686145,0.0011783333252362257,-0.00022445393883420032,0.0029825200879333466,0.0009893889703746018,0.00041678414615156114,-0.0032543475566860886,0.0002428917435979946,-0.010432047690046395,0.014080153753846586,-0.0021914215017572953,0.26264766517150734,-0.25493724372428933,-0.41434560474759835,0.003551757954831553,-6.482333515451158e-05,0.0005926145787127461,0.0013142892672506996,0.26095785425106405
mensualites_existantes,0.001531662163357998,-0.0024687062526886944,-0.0013589758370386319,-0.004024220810461175,0.005009818343479514,-0.0018219061373870615,0.8487818156436555,1.0,-0.28765008616123316,-0.0036144550024480434,-0.0007568483174105007,-0.00023887388505647485,0.00248976458813378,0.002320885713647241,0.0009745136997311496,-0.0020317462266117355,0.001988049690031527,-0.0063276576317513634,0.011406874767048018,-0.002448323786003694,0.3085808650033406,-0.3008858550038276,-0.4709536841462416,0.0035777013827810126,9.637853697977789e-06,0.0006452769601978254,0.0009245055507110681,0.296837683791968
epargne_mensuelle,-0.005613115941520697,0.004860830560065413,-0.019728421437363797,0.6173998557717615,0.2821290141718813,0.3768887002160101,-0.2505948465543848,-0.28765008616123316,1.0,0.41248555338672516,-0.0014501114150016613,0.00023580687071079402,-0.0041650227369840745,-0.002152502741921795,-0.0020040774689678766,0.002496820067796054,3.0087546105766265e-05,0.008787440190044245,-0.003168698099699785,0.6729908632342279,-0.39321275680387624,0.5783602895793046,0.7665828511366474,-0.19133894541639618,0.0024294785568392927,-0.003743712756581539,0.002057894112012808,-0.33900665668685487
solde_moyen_compte,-0.005763076321028067,0.0024453062578925953,-0.021974080540920225,0.588375135291361,0.1606394382963616,0.48970817378145276,-0.001734452684686145,-0.0036144550024480434,0.41248555338672516,1.0,-0.003949241721049695,0.0016086553717099168,0.0034071651961591074,0.003310086900133132,0.004431338604334481,-0.0018971733751621004,0.0039320468580720525,0.004245639514063147,0.0004400177456129245,0.6107239460431021,-0.2839988752828435,0.38794314228118437,0.10068759972420112,-0.17138421362221798,0.0004195589656164946,0.0010623089167874418,-0.003640508165724399,-0.23190274841131417
